Movie,LeadStudio,AudienceScore,Story,Genre,TheatersOpenWeek,OpeningWeekend,DomesticGross,ForeignGross,WorldGross,Budget,Profitability,Year
Spider-Man 3,Sony,54,Metamorphosis,Action,4252,151.1,336.53,554.34,890.87,258,345.3,2007
Shrek the Third,Paramount,57,Quest,Animation,4122,121.6,322.72,476.24,798.96,160,499.35,2007
Transformers,Paramount,89,Monster Force,Action,4011,70.5,319.25,390.46,709.71,150,473.14,2007
Pirates of the Caribbean: At World's End,Disney,74,Rescue,Action,4362,114.7,309.42,654,963.42,300,321.14,2007
Harry Potter and the Order of the Phoenix,Warner Bros,82,Quest,Adventure,4285,77.1,292,647.88,939.89,150,626.59,2007
I Am Legend,Warner Bros,69,Quest,Thriller,3606,77.2,256.39,328.96,585.35,150,390.23,2007
The Bourne Ultimatum,Universal,91,Pursuit,Thriller,3660,69.3,227.47,215.35,442.82,110,402.57,2007
National Treasure: Book of Secrets,Disney,72,The Riddle,Thriller,3832,44.8,219.96,237.4,457.36,130,351.82,2007
Alvin and the Chipmunks,Fox,73,Comedy,Animation,3475,44.3,217.33,144.01,361.34,70,516.19,2007
300,Warner Bros,90,Sacrifice,Action,3103,70.9,210.61,245.45,456.07,65,701.64,2007
Ratatouille,Disney,84,Transformation,Animation,3940,47,206.45,417.28,623.72,150,415.81,2007
The Simpsons Movie,Fox,78,Maturation,Comedy,3922,74,183.14,343.94,527.07,75,702.76,2007
Wild Hogs,Disney,72,Transformation,Comedy,3287,39.7,168.27,85.35,253.62,90,281.8,2007
Knocked Up,Universal,83,Love,Comedy,2871,30.7,148.77,70.31,219.08,33,663.86,2007
Juno,Fox,89,Maturation,Comedy,1019,10.6,143.5,87.92,231.41,7.5,3085.48,2007
Rush Hour 3,Warner Bros,68,Rescue,Action,3778,49.1,140.13,117.9,258.02,140,184.3,2007
Live Free or Die Hard,Fox,86,Rescue,Action,3408,33.4,134.53,249,383.53,110,348.66,2007
Fantastic Four: Rise of the Silver Surfer,Fox,55,Monster Force,Action,3959,58,131.92,157.13,289.05,130,222.34,2007
American Gangster,Universal,87,pursuit,Thriller,3054,43.6,130.16,136.3,266.46,100,266.46,2007
Enchanted,Disney,80,Love,Comedy,3730,34.4,127.81,212.68,340.49,85,400.57,2007
Bee Movie,Paramount,57,Journey and Return,Animation,3928,38,126.63,160.96,287.59,150,191.73,2007
Superbad,Sony,87,Comedy,Comedy,2948,33,121.46,48.41,169.87,20,849.36,2007
I Now Pronounce You Chuck and Larry,Universal,73,Comedy,Comedy,3495,34.2,120.06,66.01,186.07,85,218.91,2007
Blades of Glory,Paramount,66,Rivalry,Comedy,3372,33,118.59,27.11,145.71,61,238.87,2007
Ocean's 13,Warner Bros,74,Revenge,Thriller,3565,36.1,117.15,194.16,311.31,85,366.25,2007
Ghost Rider,Sony,56,Monster Force,Action,3619,45.3,115.8,112.94,228.74,110,207.94,2007
Evan Almighty,Universal,56,Comedy,Comedy,3604,31.2,100.46,72.96,173.42,175,99.1,2007
Meet the Robinsons,Disney,75,Quest,Animation,3413,25.1,97.82,71.51,169.33,100,169.33,2007
Norbit,Paramount,56,Comedy,Comedy,3136,34.2,95.67,63.64,159.31,60,265.52,2007
The Bucket List,Warner Bros,81,discovery,Drama,2911,19.4,93.47,81.91,175.37,45,389.72,2007
The Game Plan,Disney,75,Discovery,Comedy,3103,22.9,90.65,57.23,147.88,22,672.18,2007
Beowulf,Paramount,52,Journey and Return,Action,3153,27.5,82.28,114.11,196.39,150,130.93,2007
